Format Version,1.23,Take Name,Werikson_IC_Gesto_B,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.21.22.268 ,Total Frames in Take,1595,Total Exported Frames,1595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right,Gesture:Teste1,Gesture:Teste1,Gesture:Teste1
,ID,"67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
70,0.291667,0.089103,1.706038,-0.119181,0.422177,0.901960,-0.183843,-0.159368,0.897996,-0.244355,,,
71,0.295833,0.089024,1.706016,-0.119160,0.422192,0.901945,-0.183788,-0.159471,0.898050,-0.244256,,,
72,0.300000,0.088543,1.706080,-0.119448,0.422062,0.901388,-0.184195,-0.159585,0.898095,-0.244151,,,
73,0.304167,0.088453,1.706072,-0.119449,0.422252,0.901967,-0.183653,-0.159630,0.898131,-0.243811,,,
74,0.308333,0.088366,1.706066,-0.119410,0.422266,0.901952,-0.183595,-0.159744,0.898177,-0.243697,,,
75,0.312500,0.088271,1.706060,-0.119385,0.422283,0.901953,-0.183510,-0.159810,0.898280,-0.243572,,,
76,0.316667,0.088175,1.706035,-0.119366,0.422339,0.901884,-0.183573,-0.159791,0.898568,-0.243474,,,
77,0.320833,0.088083,1.706026,-0.119347,0.422366,0.901893,-0.183500,-0.159933,0.898632,-0.243352,,,
78,0.325000,0.087948,1.706049,-0.119116,0.422395,0.901887,-0.183436,-0.160206,0.898450,-0.243244,,,
79,0.329167,0.087654,1.706049,-0.119091,0.422416,0.901884,-0.183356,-0.160207,0.898747,-0.243124,,,
80,0.333333,0.087314,1.706022,-0.118887,0.422444,0.901885,-0.183293,-0.160372,0.898816,-0.242996,,,
81,0.337500,0.087063,1.706168,-0.118752,0.422478,0.901881,-0.183225,-0.160665,0.898842,-0.242814,,,
82,0.341667,0.086866,1.706227,-0.118740,0.422493,0.901876,-0.183150,-0.160835,0.898918,-0.242683,,,
83,0.345833,0.086797,1.706195,-0.118716,0.422524,0.901866,-0.183077,-0.161009,0.899002,-0.242550,,,
84,0.350000,0.086709,1.706162,-0.118689,0.422585,0.901594,-0.182808,-0.161307,0.899094,-0.242452,,,
85,0.354167,0.086642,1.706131,-0.118655,0.422688,0.901460,-0.182711,-0.161631,0.898938,-0.242327,,,
86,0.358333,0.086567,1.706117,-0.118614,0.422720,0.901456,-0.182644,-0.161816,0.899022,-0.242197,,,
87,0.362500,0.086488,1.706083,-0.118587,0.422745,0.901457,-0.182574,-0.162008,0.899105,-0.242067,,,
88,0.366667,0.086478,1.706156,-0.118587,0.422792,0.901456,-0.182491,-0.162294,0.899280,-0.241908,,,
89,0.370833,0.086397,1.706133,-0.118544,0.422829,0.901460,-0.182425,-0.162437,0.899403,-0.241760,,,
90,0.375000,0.086322,1.706099,-0.118517,0.422843,0.901581,-0.181982,-0.162654,0.899495,-0.241633,,,
91,0.379167,0.086279,1.706056,-0.118489,0.422799,0.901640,-0.182006,-0.162865,0.899571,-0.241498,,,
92,0.383333,0.086310,1.705966,-0.118436,0.422847,0.901664,-0.181947,-0.163085,0.899663,-0.241347,,,
